Kharif Crop,Rabi Crop,State,Acres,Sustainable Method (1),Sustainable Method (2)
Rice,Wheat,Punjab,10,Organic Farming,
Maize,Mustard,Haryana,8,Agroforestry, No-Till
Sorghum,Chickpea,Maharashtra,15,Crop Rotation, Compost
Cotton,Wheat,Gujarat,12,Precision Farming,
Sugarcane,Barley,Uttar Pradesh,20,Vermicomposting, Mulching
Soybean,Gram,Madhya Pradesh,18,Cover Crops, Conservation Tillage
Pearl Millet,Lentils,Rajasthan,22,Rainwater Harvesting, Green Manure
Groundnut,Barley,Andhra Pradesh,14,Intercropping, Biochar
Rice,Wheat,Tamil Nadu,10,System of Rice Intensification (SRI),
Chickpea,Mustard,Karnataka,9,Integrated Pest Management, No-Till
Rice,Wheat,Punjab,12,Organic Farming,
Maize,Mustard,Haryana,7,Agroforestry, No-Till
Sorghum,Chickpea,Maharashtra,20,Crop Rotation, Compost
Cotton,Wheat,Gujarat,15,Precision Farming,
Sugarcane,Barley,Uttar Pradesh,18,Vermicomposting, Mulching
Soybean,Gram,Madhya Pradesh,16,Cover Crops, Conservation Tillage
Pearl Millet,Lentils,Rajasthan,24,Rainwater Harvesting, Green Manure
Groundnut,Barley,Andhra Pradesh,13,Intercropping, Biochar
Rice,Wheat,Tamil Nadu,11,System of Rice Intensification (SRI),
Chickpea,Mustard,Karnataka,10,Integrated Pest Management, No-Till
Rice,Wheat,Punjab,11,Organic Farming,
Maize,Mustard,Haryana,9,Agroforestry, No-Till
Sorghum,Chickpea,Maharashtra,14,Crop Rotation, Compost
Cotton,Wheat,Gujarat,13,Precision Farming,
Sugarcane,Barley,Uttar Pradesh,21,Vermicomposting, Mulching
Soybean,Gram,Madhya Pradesh,17,Cover Crops, Conservation Tillage
Pearl Millet,Lentils,Rajasthan,23,Rainwater Harvesting, Green Manure
Groundnut,Barley,Andhra Pradesh,15,Intercropping, Biochar
Rice,Wheat,Tamil Nadu,11,System of Rice Intensification (SRI),
Chickpea,Mustard,Karnataka,10,Integrated Pest Management, No-Till
Rice,Wheat,Punjab,14,Organic Farming,
Maize,Mustard,Haryana,8,Agroforestry, No-Till
Sorghum,Chickpea,Maharashtra,17,Crop Rotation, Compost
Cotton,Wheat,Gujarat,14,Precision Farming,
Sugarcane,Barley,Uttar Pradesh,19,Vermicomposting, Mulching
Soybean,Gram,Madhya Pradesh,17,Cover Crops, Conservation Tillage
Pearl Millet,Lentils,Rajasthan,23,Rainwater Harvesting, Green Manure
Groundnut,Barley,Andhra Pradesh,15,Intercropping, Biochar
Rice,Wheat,Tamil Nadu,11,System of Rice Intensification (SRI),
Chickpea,Mustard,Karnataka,10,Integrated Pest Management, No-Till
Rice,Wheat,Punjab,14,Organic Farming,
Maize,Mustard,Haryana,8,Agroforestry, No-Till
Sorghum,Chickpea,Maharashtra,17,Crop Rotation, Compost
Cotton,Wheat,Gujarat,14,Precision Farming,
Sugarcane,Barley,Uttar Pradesh,19,Vermicomposting, Mulching
Soybean,Gram,Madhya Pradesh,17,Cover Crops, Conservation Tillage
Pearl Millet,Lentils,Rajasthan,23,Rainwater Harvesting, Green Manure
Groundnut,Barley,Andhra Pradesh,15,Intercropping, Biochar
Rice,Wheat,Tamil Nadu,11,System of Rice Intensification (SRI),
Chickpea,Mustard,Karnataka,10,Integrated Pest Management, No-Till
Rice,Wheat,Punjab,14,Organic Farming,
Maize,Mustard,Haryana,8,Agroforestry,
Rice,Wheat,Punjab,10,Organic Farming,
Maize,Mustard,Haryana,8,Agroforestry, No-Till
Sorghum,Chickpea,Maharashtra,15,Crop Rotation, Compost
Cotton,Wheat,Gujarat,12,Precision Farming,
Sugarcane,Barley,Uttar Pradesh,20,Vermicomposting, Mulching
Soybean,Gram,Madhya Pradesh,18,Cover Crops, Conservation Tillage
Pearl Millet,Lentils,Rajasthan,22,Rainwater Harvesting, Green Manure
Groundnut,Barley,Andhra Pradesh,14,Intercropping, Biochar
Rice,Wheat,Tamil Nadu,10,System of Rice Intensification (SRI),
Chickpea,Mustard,Karnataka,9,Integrated Pest Management, No-Till
Rice,Wheat,Punjab,12,Organic Farming,
Maize,Mustard,Haryana,7,Agroforestry, No-Till
Sorghum,Chickpea,Maharashtra,20,Crop Rotation, Compost
Cotton,Wheat,Gujarat,15,Precision Farming,
Sugarcane,Barley,Uttar Pradesh,18,Vermicomposting, Mulching
